
Wavelength	Gen uRb 0°	Gen uRb 5°	Gen uRb 10°	Gen uRb 15°	Gen uRb 20°	Gen uRb 25°	Gen uRb 30°	Gen uRb 35°	Gen uRb 40°	Gen uRb 45°
l	0	5	10	15	20	25	30	35	40	45	
0.706	0.081655	0.081657	0.081679	0.081781	0.082069	0.082721	0.084016	0.08639	0.090516	0.097445	
0.708	0.081636	0.081638	0.08166	0.081762	0.08205	0.082701	0.083997	0.08637	0.090497	0.097425	
0.71	0.081617	0.081618	0.081641	0.081743	0.082031	0.082682	0.083978	0.086351	0.090478	0.097406	
0.712	0.081598	0.0816	0.081622	0.081724	0.082012	0.082663	0.083958	0.086332	0.090459	0.097387	
0.714	0.081579	0.081581	0.081603	0.081705	0.081993	0.082644	0.08394	0.086313	0.09044	0.097368	
0.716	0.08156	0.081562	0.081585	0.081686	0.081974	0.082626	0.083921	0.086294	0.090421	0.097349	
0.718	0.081542	0.081543	0.081566	0.081667	0.081955	0.082607	0.083902	0.086276	0.090402	0.097331	
0.72	0.081523	0.081525	0.081547	0.081649	0.081937	0.082589	0.083884	0.086257	0.090383	0.097312	
0.722	0.081505	0.081507	0.081529	0.081631	0.081919	0.08257	0.083865	0.086239	0.090365	0.097293	
0.724	0.081487	0.081488	0.081511	0.081612	0.0819	0.082552	0.083847	0.08622	0.090347	0.097275	
0.726	0.081469	0.08147	0.081493	0.081594	0.081882	0.082534	0.083829	0.086202	0.090328	0.097257	
0.728	0.081451	0.081452	0.081475	0.081576	0.081864	0.082516	0.083811	0.086184	0.09031	0.097239	
0.73	0.081433	0.081434	0.081457	0.081558	0.081846	0.082498	0.083793	0.086166	0.090292	0.097221	
0.732	0.081415	0.081417	0.081439	0.081541	0.081829	0.08248	0.083775	0.086148	0.090274	0.097203	
0.734	0.081397	0.081399	0.081422	0.081523	0.081811	0.082462	0.083757	0.08613	0.090257	0.097185	
0.736	0.08138	0.081381	0.081404	0.081505	0.081793	0.082445	0.08374	0.086113	0.090239	0.097167	
0.738	0.081362	0.081364	0.081387	0.081488	0.081776	0.082427	0.083722	0.086095	0.090221	0.09715	
0.74	0.081345	0.081347	0.081369	0.081471	0.081758	0.08241	0.083705	0.086078	0.090204	0.097132	
